seasons,played,w,d,l,gf,ga,pts,position,highscorer,goals,league,leaguelevel,startyear,,,,,,,
1972–73,42,16,13,13,58,48,45,8,Martin Chivers,33,Division 1,1,1972,,,,,,,
1973–74,42,14,14,14,45,50,42,11,Martin Chivers,23,Division 1,1,1973,,,,,,,
1974–75,42,13,8,21,52,63,34,19,John Duncan,12,Division 1,1,1974,,,,,,,
1975–76,42,14,15,13,63,63,43,9,John Duncan,25,Division 1,1,1975,,,,,,,
1976–77,42,12,9,21,48,72,33,22,Chris Jones,9,Division 1,1,1976,,,,,,,
1977–78,42,20,16,6,83,49,56,3,John Duncan,20,Division 2,,1977,,,,,,,
1978–79,42,13,15,14,48,61,41,11,Peter Taylor,12,Division 1,1,1978,,,,,,,
1979–80,42,15,10,17,52,62,40,14,Glenn Hoddle,22,Division 1,1,1979,,,,,,,
1980–81,42,14,15,13,70,68,43,10,Steve Archibald,25,Division 1,1,1980,,,,,,,
1981–82,42,20,11,11,67,48,71,4,Garth Crooks,18,Division 1,1,1981,,,,,,,
1982–83,42,20,9,13,65,50,69,4,Archibald/Crooks,15,Division 1,1,1982,,,,,,,
1983–84,42,17,10,15,64,65,61,8,Steve Archibald,28,Division 1,1,1983,,,,,,,
1984–85,42,23,8,11,78,51,77,3,Mark Falco,29,Division 1,1,1984,,,,,,,
1985–86,42,19,8,15,74,52,65,10,Mark Falco,25,Division 1,1,1985,,,,,,,
1986–87,42,21,8,13,68,43,71,3,Clive Allen,49,Division 1,1,1986,,,,,,,
1987–88,40,12,11,17,38,48,47,13,Clive Allen,13,Division 1,1,1987,,,,,,,
1988–89,38,15,12,11,60,46,57,6,Chris Waddle,14,Division 1,1,1988,,,,,,,
1989–90,38,19,6,13,59,47,63,3,Gary Lineker,26,Division 1,1,1989,,,,,,,
1990–91,38,11,16,11,51,50,49,10,Lineker/Gascoigne,19,Division 1,1,1990,,,,,,,
1991–92,42,15,7,20,58,63,52,15,Gary Lineker,35,Division 1,1,1991,,,,,,,
1992–93,42,16,11,15,60,66,59,8,Teddy Sheringham,28,Premier League,1,1992,,,,,,,
1993–94,42,11,12,19,54,59,45,15,Teddy Sheringham,15,Premier League,1,1993,,,,,,,
1994–95,42,16,14,12,66,58,62,7,Jürgen Klinsmann,29,Premier League,1,1994,,,,,,,
1995–96,38,16,13,9,50,38,61,8,Teddy Sheringham,24,Premier League,1,1995,,,,,,,
1996–97,38,13,7,18,44,51,46,10,Teddy Sheringham,8,Premier League,1,1996,,,,,,,
1997–98,38,11,11,16,44,56,44,14,Klinsmann/Ginola,9,Premier League,1,1997,,,,,,,
1998–99,38,11,14,13,47,50,47,11,Steffen Iversen,13,Premier League,1,1998,,,,,,,
1999–2000,38,15,8,15,57,49,53,10,Steffen Iversen,17,Premier League,1,1999,,,,,,,
2000–01,38,13,10,15,47,54,49,12,Sergei Rebrov,12,Premier League,1,2000,,,,,,,
2001–02,38,14,8,16,49,53,50,9,Gustavo Poyet,14,Premier League,1,2001,,,,,,,
2002–03,38,14,8,16,51,62,50,10,Sheringham/Keane,13,Premier League,1,2002,,,,,,,
2003–04,38,13,6,19,47,57,45,14,Robbie Keane,16,Premier League,1,2003,,,,,,,
2004–05,38,14,10,14,47,41,52,9,Jermain Defoe,22,Premier League,1,2004,,,,,,,
2005–06,38,18,11,9,53,38,65,5,Robbie Keane,16,Premier League,1,2005,,,,,,,
2006–07,38,17,9,12,57,54,60,5,Dimitar Berbatov,23,Premier League,1,2006,,,,,,,
2007–08,38,11,13,14,66,61,46,11,Berbatov/Keane,23,Premier League,1,2007,,,,,,,
2008–09,38,14,9,15,45,45,51,8,Darren Bent,17,Premier League,1,2008,,,,,,,
2009–10,38,21,7,10,67,41,70,4,Jermain Defoe,24,Premier League,1,2009,,,,,,,
2010–11,38,16,14,8,55,46,62,5,Rafael van der Vaart,15,Premier League,1,2010,,,,,,,
2011–12,38,20,9,9,66,41,69,4,Emmanuel Adebayor,18,Premier League,1,2011,,,,,,,
2012–13,38,21,9,8,66,46,72,5,Gareth Bale,26,Premier League,1,2012,,,,,,,
2013–14,38,21,6,11,55,51,69,6,Emmanuel Adebayor,14,Premier League,1,2013,,,,,,,
2014–15,38,19,7,12,58,53,64,5,Harry Kane,31,Premier League,1,2014,,,,,,,
2015–16,38,19,13,6,69,35,70,3,Harry Kane,28,Premier League,1,2015,,,,,,,
2016–17,38,26,8,4,86,26,86,2,Harry Kane,35,Premier League,1,2016,,,,,,,
2017–18,38,23,8,7,74,36,77,3,Harry Kane,41,Premier League,1,2017,,,,,,,
2018–19,38,23,2,13,67,39,71,4,Harry Kane,24,Premier League,1,2018,,,,,,,
2019–20,38,16,11,11,61,47,59,6,Harry Kane,24,Premier League,1,2019,,,,,,,
,,,,,,,,,,,,,,,,,,,,
